feature,schemas_with_feature,compile_error_schemas_with_feature,compile_error_rate_with_feature,compile_error_rate_without_feature,lift
has_type,1823,369,0.202414,0,inf
has_properties,1819,365,0.20066,1,0.20066
has_required,1365,315,0.230769,0.117904,1.95726
many_properties,1268,267,0.210568,0.183784,1.14574
has_additionalProperties,852,230,0.269953,0.143151,1.88579
has_boolean_schema,825,221,0.267879,0.148297,1.80637
has_items,990,218,0.220202,0.181273,1.21476
has_enum,808,191,0.236386,0.175369,1.34793
many_required,827,165,0.199516,0.204819,0.974109
has_ref,442,153,0.346154,0.156408,2.21314
has_defs,471,153,0.324841,0.159763,2.03326
has_pattern,512,122,0.238281,0.188406,1.26472
has_oneOf,182,118,0.648352,0.152956,4.23882
has_patternProperties,119,116,0.97479,0.148474,6.56538
deep_schema,338,100,0.295858,0.181145,1.63327
has_default,485,92,0.189691,0.207025,0.916268
has_minItems,227,82,0.361233,0.179825,2.00881
has_minLength,313,78,0.249201,0.192715,1.29311
large_enum,267,59,0.220974,0.199229,1.10915
has_minimum,302,55,0.182119,0.206443,0.882176
has_maxLength,252,53,0.210317,0.201146,1.0456
has_minProperties,29,29,1,0.189521,5.27647
has_anyOf,92,29,0.315217,0.196418,1.60483
has_allOf,42,27,0.642857,0.192027,3.34774
has_maximum,111,27,0.243243,0.199766,1.21764
has_maxItems,90,25,0.277778,0.1985,1.39939
has_not,20,20,1,0.193566,5.16619
has_const,19,11,0.578947,0.198448,2.91738
has_maxProperties,10,10,1,0.198014,5.05014
has_propertyNames,3,3,1,0.201099,4.97268
has_exclusiveMinimum,9,3,0.333333,0.201764,1.65209
has_if_then_else,4,2,0.5,0.201759,2.4782
has_contains,1,1,1,0.201976,4.95109
has_anchor,0,0,0,0.202414,0
has_content,2,0,0,0.202636,0
has_dependentRequired,0,0,0,0.202414,0
has_dependentSchemas,0,0,0,0.202414,0
has_dynamicRef,0,0,0,0.202414,0
has_exclusiveMaximum,0,0,0,0.202414,0
has_infinite_loop_detection,0,0,0,0.202414,0
has_maxContains,0,0,0,0.202414,0
has_minContains,0,0,0,0.202414,0
has_multipleOf,9,0,0,0.203418,0
has_prefixItems,0,0,0,0.202414,0
has_unevaluatedItems,0,0,0,0.202414,0
has_unevaluatedProperties,0,0,0,0.202414,0
has_uniqueItems,0,0,0,0.202414,0
