feature,schemas_with_feature,compile_error_schemas_with_feature,compile_error_rate_with_feature,compile_error_rate_without_feature,lift
many_properties,886,255,0.28781,0,inf
has_properties,888,255,0.287162,0,inf
has_type,888,255,0.287162,0,inf
has_items,678,240,0.353982,0.0714286,4.95575
has_required,749,236,0.315087,0.136691,2.30511
has_additionalProperties,524,207,0.395038,0.131868,2.99571
has_boolean_schema,502,199,0.396414,0.145078,2.73243
has_enum,576,187,0.324653,0.217949,1.48958
many_required,633,185,0.292259,0.27451,1.06466
has_defs,362,178,0.491713,0.146388,3.35897
has_ref,345,177,0.513043,0.143646,3.57157
deep_schema,487,142,0.291581,0.281796,1.03473
has_oneOf,173,139,0.803468,0.162238,4.95241
has_pattern,340,137,0.402941,0.215328,1.87129
has_patternProperties,122,121,0.991803,0.174935,5.66956
large_enum,324,109,0.33642,0.258865,1.29959
has_anyOf,192,88,0.458333,0.239943,1.91018
has_minimum,218,88,0.40367,0.249254,1.61951
has_default,378,79,0.208995,0.345098,0.60561
has_minItems,188,77,0.409574,0.254286,1.61069
has_maximum,135,62,0.459259,0.256308,1.79182
has_minLength,140,60,0.428571,0.260695,1.64396
has_maxLength,97,42,0.43299,0.269279,1.60796
has_allOf,53,40,0.754717,0.257485,2.93111
has_maxItems,69,36,0.521739,0.267399,1.95116
has_minProperties,24,23,0.958333,0.268519,3.56897
has_not,17,17,1,0.273249,3.65966
has_maxProperties,11,10,0.909091,0.279361,3.25417
has_propertyNames,8,8,1,0.280682,3.56275
has_const,10,8,0.8,0.281321,2.84372
has_if_then_else,5,5,1,0.283126,3.532
has_multipleOf,12,5,0.416667,0.285388,1.46
has_exclusiveMinimum,5,4,0.8,0.284258,2.81434
has_anchor,0,0,0,0.287162,0
has_contains,0,0,0,0.287162,0
has_content,1,0,0,0.287486,0
has_dependentRequired,0,0,0,0.287162,0
has_dependentSchemas,0,0,0,0.287162,0
has_dynamicRef,0,0,0,0.287162,0
has_exclusiveMaximum,1,0,0,0.287486,0
has_infinite_loop_detection,0,0,0,0.287162,0
has_maxContains,0,0,0,0.287162,0
has_minContains,0,0,0,0.287162,0
has_prefixItems,0,0,0,0.287162,0
has_unevaluatedItems,0,0,0,0.287162,0
has_unevaluatedProperties,0,0,0,0.287162,0
has_uniqueItems,0,0,0,0.287162,0
